BSNS_NO,FCLTY_NM,ITEM_CD,ITEM_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_DETAIL_ADDR,ZIP_NO,TEL_NO,COURSE_NM,COURSE_NO,COURSE_ESTBL_YEAR,COURSE_ESTBL_MT,COURSE_BEGIN_DE,COURSE_END_DE,COURSE_REQST_NMPR_CO,COURSE_PRC
1299266569,참피온상대태권도체육관,22,태권도,41,경기,41130,성남시,경기 성남시 중원구 상대원3동 562~662,3층 참피온상대체육관,46280,,참피온태권도,11772,2024,10,20241001,20241031,12,100000.00000
1309066454,즐거운 태권도,22,태권도,41,경기,41190,부천시,경기 부천시 소사구 괴안동 삼익세라믹아파트,"1,2차 상가 2층 203호 즐거운 태권도",42270,0323488111,태권도 교육,166851,2024,09,20240901,20240930,1,100000.00000
1309066454,즐거운 태권도,03,기타종목,41,경기,41190,부천시,경기 부천시 소사구 괴안동 삼익세라믹아파트,"1,2차 상가 2층 203호 즐거운 태권도",42270,0323488111,"태권도, 축구, 배드민턴, 해양, 항공스포츠(드론축구)",166855,2024,10,20241001,20241031,1,100000.00000
1309285135,상일태권도체육관,22,태권도,41,경기,41190,부천시,경기 부천시 원미구 상동 226~316,(상동),42081,,태권도,171202,2024,09,20240901,20240930,6,100000.00000
1309285135,상일태권도체육관,22,태권도,41,경기,41190,부천시,경기 부천시 원미구 상동 226~316,(상동),42081,,태권도,171202,2024,10,20241001,20241031,5,100000.00000
1319006992,동남태권도장,22,태권도,28,인천,28185,연수구,인천 연수구 동춘2동 동남아파트,상가 304호,40675,0328166404,태권도,5902,2024,10,20241001,20241031,0,100000.00000
1319010045,바르체용인대체육관,22,태권도,28,인천,28185,연수구,인천 연수구 옥련동 삼성아파트,단지내상가3층,40671,0328326505,태권도,3147,2024,09,20240901,20240930,1,100000.00000
1319010045,바르체용인대체육관,22,태권도,28,인천,28185,연수구,인천 연수구 옥련동 삼성아파트,단지내상가3층,40671,0328326505,태권도,165992,2024,10,20241001,20241031,0,95000.00000
1319010045,바르체용인대체육관,22,태권도,28,인천,28185,연수구,인천 연수구 옥련동 삼성아파트,단지내상가3층,40671,0328326505,태권도,3147,2024,10,20241001,20241031,1,100000.00000
1319010045,바르체용인대체육관,22,태권도,28,인천,28185,연수구,인천 연수구 옥련동 삼성아파트,단지내상가3층,40671,0328326505,태권도,362476,2024,10,20241001,20241031,0,95000.00000
1329085933,태권도장,22,태권도,41,경기,41310,구리시,경기 구리시 교문2동 동방아파트,상가2층 용인대백호체육관,47170,0315685712,태권도지도,530,2024,09,20240901,20240930,23,100000.00000
1329143702,용인대 태권도 아카데미,22,태권도,41,경기,41820,가평군,경기 가평군 가평읍 읍내4리,584-7,47780,0315815577,바른체형교정,2364545,2024,09,20240901,20240930,1,100000.00000
1329212337,하늘태권스쿨,22,태권도,41,경기,41310,구리시,경기도 구리시 경춘로276번길 22,구리시 수택동 535-34호 2층(수택동),11930,0315696044,태권도,2283968,2024,09,20240901,20240930,4,100000.00000
1339504108,탑용인대박사태권도장,22,태권도,11,서울,11545,금천구,서울 금천구 독산1동 한신아파트,3층 TOP용인대박사태권도장 (독산동，한신아파트),15375,028981551,TOP용인대박사태권도장,2282612,2024,09,20240901,20240930,11,100000.00000
1339504108,탑용인대박사태권도장,22,태권도,11,서울,11545,금천구,서울 금천구 독산1동 한신아파트,3층 TOP용인대박사태권도장 (독산동，한신아파트),15375,028981551,TOP용인대박사태권도장,2282612,2024,10,20241001,20241031,11,100000.00000
1379118528,엘리트태권도체육관,22,태권도,41,경기,41570,김포시,경기 김포시 사우동 261~915,880 시그마프라자2층,41580,,엘리트태권도,2255546,2024,09,20240901,20240930,0,100000.00000
1389025248,승우체육관,22,태권도,41,경기,41170,안양시,경기 안양시 동안구 관양2동 1505~1509,1507-14 2층,43181,0314250425,태권도수강,2248606,2024,09,20240901,20240930,2,100000.00000
1409039406,고려튼튼태권도,22,태권도,28,인천,28260,서구,인천 서구 가좌2동 30~60,42-2 모건베스트원 5층 고려튼튼태권도,40480,0325757063,태권도,174396,2024,09,20240901,20240930,3,100000.00000
1409039406,고려튼튼태권도,22,태권도,28,인천,28260,서구,인천 서구 가좌2동 30~60,42-2 모건베스트원 5층 고려튼튼태권도,40480,0325757063,태권도,2360548,2024,09,20240901,20240930,0,160000.00000
1409039406,고려튼튼태권도,22,태권도,28,인천,28260,서구,인천 서구 가좌2동 30~60,42-2 모건베스트원 5층 고려튼튼태권도,40480,0325757063,태권도,3082523,2024,09,20240901,20240930,2,150000.00000
1409108569,한양대매화태권도,22,태권도,41,경기,41390,시흥시,경기 시흥시 매화동 290~465,338-3,42981,0313179887,한양대매화태권도,2189526,2024,09,20240901,20240930,19,100000.00000
1409108569,한양대매화태권도,22,태권도,41,경기,41390,시흥시,경기 시흥시 매화동 290~465,338-3,42981,0313179887,한양대매화태권도,2189526,2024,10,20241001,20241031,20,100000.00000
1409108569,한양대매화태권도,22,태권도,41,경기,41390,시흥시,경기 시흥시 매화동 290~465,338-3,42981,0313179887,한양대매화태권도,2189526,2024,11,20241101,20241130,22,100000.00000
1410476930,운정 합기도 검무관,75,합기도,41,경기,41480,파주시,경기 파주시 교하읍 운정동 (운정 이마트 근처),운정동 ng2블럭 대흥프라자2 4층,41375,0319548885,합기도 (호신술),3465,2024,09,20240901,20240930,7,100000.00000
1410476930,운정 합기도 검무관,75,합기도,41,경기,41480,파주시,경기 파주시 교하읍 운정동 (운정 이마트 근처),운정동 ng2블럭 대흥프라자2 4층,41375,0319548885,합기도 (호신술),3465,2024,10,20241001,20241031,7,100000.00000
1419029594,신성태권도,22,태권도,41,경기,41480,파주시,경기 파주시 검산동 성원아파트,,41305,0319440357,신성태권도,2253866,2024,09,20240901,20240930,2,100000.00000
